anno,blocco,riga,colonna,valore,categoria
2015,F,325,F050,-235737,importazioni (segno negativo per convenzione)
2015,F,326,F050,-48244,importazioni (segno negativo per convenzione)
2015,F,481,F050,-40592,importazioni (segno negativo per convenzione)
2015,F,511,F050,-4118,importazioni (segno negativo per convenzione)
2015,F,512,F050,-9177,importazioni (segno negativo per convenzione)
2015,F,513,F050,-170,importazioni (segno negativo per convenzione)
2015,F,514,F050,-1221,importazioni (segno negativo per convenzione)
2015,F,521CI,F050,-6614,importazioni (segno negativo per convenzione)
2015,F,523,F050,-61,importazioni (segno negativo per convenzione)
2015,F,524,F050,-49727,importazioni (segno negativo per convenzione)
2015,F,5411,F050,-2740,importazioni (segno negativo per convenzione)
2015,F,5415,F050,-29113,importazioni (segno negativo per convenzione)
2015,F,5412OP,F050,-74122,importazioni (segno negativo per convenzione)
2015,F,561,F050,-1546,importazioni (segno negativo per convenzione)
2015,F,562,F050,-185,importazioni (segno negativo per convenzione)
2015,F,61,F050,-1342,importazioni (segno negativo per convenzione)
2015,F,621,F050,-94,importazioni (segno negativo per convenzione)
2015,F,622,F050,-3513,importazioni (segno negativo per convenzione)
2015,F,623,F050,-27,importazioni (segno negativo per convenzione)
2015,F,711AS,F050,-1313,importazioni (segno negativo per convenzione)
2015,F,713,F050,-1,importazioni (segno negativo per convenzione)
2015,F,81,F050,-3798,importazioni (segno negativo per convenzione)
2015,F,GFE,F050,-392,importazioni (segno negativo per convenzione)
2015,F,Used,F02S,-2203,riga o colonna speciale (Used/Other)
2015,F,Used,F02E,-101780,riga o colonna speciale (Used/Other)
2015,F,Used,F02R,-452,riga o colonna speciale (Used/Other)
2015,F,Used,F050,-16078,importazioni (segno negativo per convenzione)
2015,F,Used,F06S,-4,riga o colonna speciale (Used/Other)
2015,F,Used,F07S,-651,riga o colonna speciale (Used/Other)
2015,F,Used,F07E,-2080,riga o colonna speciale (Used/Other)
2015,F,Used,F10E,-11074,riga o colonna speciale (Used/Other)
2015,F,Other,F010,-101471,riga o colonna speciale (Used/Other)
2015,F,Other,F050,-229352,importazioni (segno negativo per convenzione)
2015,VA,V002,GFE,-6001,sussidi superiori alle imposte
2015,VA,V002,GSLE,-18531,sussidi superiori alle imposte
2015,VA,V003,523,-1199,da esaminare
2016,U,111CA,GFGN,-200,da esaminare
2016,U,Used,111CA,-39,riga o colonna speciale (Used/Other)
2016,U,Used,481,-92,riga o colonna speciale (Used/Other)
2016,U,Used,483,-124,riga o colonna speciale (Used/Other)
2016,U,Used,484,-273,riga o colonna speciale (Used/Other)
2016,U,Used,711AS,-163,riga o colonna speciale (Used/Other)
2016,U,Used,GFGD,-61,riga o colonna speciale (Used/Other)
2016,F,111CA,F030,-3477,riduzione delle scorte
2016,F,111CA,F050,-38856,importazioni (segno negativo per convenzione)
2016,F,113FF,F050,-16209,importazioni (segno negativo per convenzione)
2016,F,211,F050,-115686,importazioni (segno negativo per convenzione)
2016,F,212,F050,-4382,importazioni (segno negativo per convenzione)
2016,F,213,F030,-4,riduzione delle scorte
2016,F,213,F050,-695,importazioni (segno negativo per convenzione)
2016,F,22,F050,-2377,importazioni (segno negativo per convenzione)
2016,F,321,F050,-19726,importazioni (segno negativo per convenzione)
2016,F,327,F050,-24058,importazioni (segno negativo per convenzione)
2016,F,331,F030,-266,riduzione delle scorte
2016,F,331,F050,-61281,importazioni (segno negativo per convenzione)
2016,F,332,F050,-62718,importazioni (segno negativo per convenzione)
2016,F,333,F030,-584,riduzione delle scorte
2016,F,333,F050,-142954,importazioni (segno negativo per convenzione)
2016,F,334,F030,-1086,riduzione delle scorte
2016,F,334,F050,-308877,importazioni (segno negativo per convenzione)
2016,F,335,F050,-90094,importazioni (segno negativo per convenzione)
2016,F,3361MV,F050,-321175,importazioni (segno negativo per convenzione)
2016,F,3364OT,F030,-10023,riduzione delle scorte
2016,F,3364OT,F050,-49365,importazioni (segno negativo per convenzione)
2016,F,337,F050,-39761,importazioni (segno negativo per convenzione)
2016,F,339,F050,-92521,importazioni (segno negativo per convenzione)
2016,F,311FT,F050,-88327,importazioni (segno negativo per convenzione)
2016,F,313TT,F050,-31066,importazioni (segno negativo per convenzione)
2016,F,315AL,F030,-571,riduzione delle scorte
2016,F,315AL,F050,-142288,importazioni (segno negativo per convenzione)
2016,F,322,F050,-22285,importazioni (segno negativo per convenzione)
2016,F,323,F030,-3,riduzione delle scorte
2016,F,323,F050,-2439,importazioni (segno negativo per convenzione)
2016,F,324,F050,-47715,importazioni (segno negativo per convenzione)
2016,F,325,F050,-236286,importazioni (segno negativo per convenzione)
2016,F,326,F050,-48091,importazioni (segno negativo per convenzione)
2016,F,481,F050,-37006,importazioni (segno negativo per convenzione)
2016,F,511,F030,-299,riduzione delle scorte
2016,F,511,F050,-4177,importazioni (segno negativo per convenzione)
2016,F,512,F030,-256,riduzione delle scorte
2016,F,512,F050,-8516,importazioni (segno negativo per convenzione)
2016,F,513,F050,-170,importazioni (segno negativo per convenzione)
2016,F,514,F050,-1161,importazioni (segno negativo per convenzione)
2016,F,521CI,F050,-6269,importazioni (segno negativo per convenzione)
2016,F,523,F050,-61,importazioni (segno negativo per convenzione)
2016,F,524,F050,-52268,importazioni (segno negativo per convenzione)
2016,F,5411,F050,-3242,importazioni (segno negativo per convenzione)
2016,F,5415,F050,-31030,importazioni (segno negativo per convenzione)
2016,F,5412OP,F050,-87289,importazioni (segno negativo per convenzione)
2016,F,561,F050,-1742,importazioni (segno negativo per convenzione)
2016,F,562,F050,-210,importazioni (segno negativo per convenzione)
2016,F,61,F050,-1463,importazioni (segno negativo per convenzione)
2016,F,621,F050,-128,importazioni (segno negativo per convenzione)
2016,F,622,F050,-3993,importazioni (segno negativo per convenzione)
2016,F,623,F050,-37,importazioni (segno negativo per convenzione)
2016,F,711AS,F050,-1529,importazioni (segno negativo per convenzione)
2016,F,713,F050,-1,importazioni (segno negativo per convenzione)
2016,F,81,F050,-4302,importazioni (segno negativo per convenzione)
2016,F,GFE,F050,-299,importazioni (segno negativo per convenzione)
2016,F,Used,F02S,-2371,riga o colonna speciale (Used/Other)
2016,F,Used,F02E,-108858,riga o colonna speciale (Used/Other)
2016,F,Used,F02R,-71,riga o colonna speciale (Used/Other)
2016,F,Used,F050,-13601,importazioni (segno negativo per convenzione)
2016,F,Used,F06S,-4,riga o colonna speciale (Used/Other)
2016,F,Used,F07S,-1085,riga o colonna speciale (Used/Other)
2016,F,Used,F10E,-14840,riga o colonna speciale (Used/Other)
2016,F,Other,F010,-94842,riga o colonna speciale (Used/Other)
2016,F,Other,F050,-242445,importazioni (segno negativo per convenzione)
2016,VA,V002,111CA,-2652,sussidi superiori alle imposte
2016,VA,V002,GFE,-6004,sussidi superiori alle imposte
2016,VA,V002,GSLE,-19909,sussidi superiori alle imposte
