caso,h,S,alfa_coperto,r_produzione,r_consumo,r_investimento_tipo,r_stock_tipo,r_importazioni,r_scorte
P1|tetto100|ind|T3,3,0.8191182741,1,0.7867792472,0.7758686276,0.6595836097,0.8736374581,0.9054628101,1.715406068
P1|tetto100|agg|T3,3,0.8284390943,1,0.90615555,0.7850757349,0.4731361964,0.7407788489,1.323580699,1.723710993
P1|tetto100|ind|T1,3,0.8295193667,1,0.7837870279,0.7789531165,0.6967311985,0.8575297382,0.9234619142,1.788500282
P1|tetto110|agg+ind|T2,3,0.8357617772,1,0.8522443677,0.864653962,0.726192442,0.6294991852,0.5746054754,1.675471951
P1|stretto|agg+ind|T2,3,0.8358456664,1,0.8523133403,0.8646166472,0.7263796358,0.6295772925,0.5751725303,1.675487745
P1|largo|ind|T3,3,0.8374119025,1,0.7657013207,0.8515683531,0.6893053073,0.913839603,0.5912213338,1.868498239
P1|stretto|ind|T3,3,0.8377983159,1,0.7736383383,0.8514111704,0.6886948573,0.9243824936,0.6666133204,1.73551153
P1|tetto110|ind|T3,3,0.8379481473,1,0.7740781586,0.8510831295,0.689610153,0.922010763,0.6689284251,1.736604654
P1|tetto110|ind|T2,3,0.8422136768,1,0.8948551104,0.9383380153,0.616999586,0.6179403027,0.5330139585,1.608221873
P1|stretto|ind|T2,3,0.8422136768,1,0.8948551104,0.9383380153,0.616999586,0.6179403027,0.5330139585,1.608221873
P1|E6|ind|T3,3,0.8442219502,1,0.7719887195,0.8628996836,0.6887998066,0.9234368122,0.6200079672,1.853027768
P1|tetto110|agg+ind|T3,3,0.854069515,1,0.7651413616,0.8253587997,0.8151471641,0.9257292468,0.5994890835,1.826853099
P1|tetto100|agg+ind|T1,3,0.8548708989,1,0.7680332075,0.7740668585,0.8069598255,0.9262903626,0.9825973894,1.781800166
P1|stretto|agg+ind|T3,3,0.8557229223,1,0.7662250622,0.8252950026,0.8150887831,0.9256805679,0.605612561,1.848009227
P0,3,0.8565325287,1,0.8427061043,1.123866424,0.6599162342,0.608491379,0.8581512962,0.616416416
P1|stretto|agg|T2,3,0.8588666321,1,1.074346262,0.899880575,0.3901782417,0.3589092222,1.457121432,1.59631878
P1|tetto110|agg|T2,3,0.8590776694,1,1.075625559,0.8997508693,0.3901782417,0.3596519056,1.453793523,1.59548452
P2|inv1.0|m1.0|S1.0|T3,3,0.8711885373,1,0.8149311409,0.8751927072,0.8527780791,1.033194895,1.016644305,0.7888812477
P2|inv1.0|m1.0|S1.0|T1,3,0.8744982017,1,0.8263799652,0.8768734378,0.8527780879,1.026900119,1.016649779,0.7888812477
ultimo_tasso,3,0.8800020003,1,1.134183226,0.8041520576,0.6099502571,0.608491379,1.619595266,0.6936492488
P1|tetto110|ind|T1,3,0.8821498341,1,0.7771561504,0.8656249015,0.8216549257,1.064931973,0.6134711153,1.756355608
P1|stretto|ind|T1,3,0.8825973977,1,0.7776161266,0.8659583163,0.8232615734,1.065169536,0.6125872565,1.754528675
P1|E6|ind|T2,3,0.8865256661,1,0.9151306684,1.026827577,0.6187190986,0.6120934248,0.7240699119,1.655630691
P1|E6|agg+ind|T3,3,0.8931332129,1,0.7850036309,0.9027267904,0.8350699407,0.929512791,0.7210623761,1.815914009
P1|tetto110|agg|T3,3,0.8948635979,1,1.009337858,0.8452791546,0.6010851585,0.7873715432,1.352148541,1.438337623
P1|stretto|agg+ind|T1,3,0.8962042467,1,0.7772933309,0.825395531,0.97337194,0.9754801982,0.6669818151,1.796521791
P1|tetto110|agg+ind|T1,3,0.8965052932,1,0.7776122913,0.825834428,0.9741675005,0.9755564472,0.666554516,1.795088136
P1|largo|agg+ind|T3,3,0.8969405512,1,0.7852281177,0.9121866867,0.8341957259,0.9293711141,0.7173969151,1.841400151
P1|stretto|agg|T3,3,0.899067625,1,1.009317242,0.8452720496,0.5996244003,0.7839103286,1.346986614,1.540511878
P1|E6|agg+ind|T2,3,0.9151815495,1,0.9087227179,1.027352109,0.7843539876,0.6447954275,0.6079663363,1.652208888
P1|E6|agg|T2,3,0.9236255337,1,1.148331807,1.003011803,0.4965324373,0.3398637084,1.26854597,1.630045874
P2|lx0.5|li0.1|T3,3,0.9277438056,1,0.8276189056,0.8204514938,1.021707555,1.018904986,1.053416711,1.488396811
P2|inv1.0|m0.0|S0.0|T1,3,0.9288805158,1,0.7846486525,0.8603365549,0.8546321858,1.02627807,1.858186946,1.378427243
P2|lx2.0|li0.5|T1,3,0.9303753398,1,0.7621694338,0.8627838039,1.019761816,1.037117577,1.431495217,1.273009736
P2|lx0.5|li0.5|T1,3,0.9306241702,1,0.8443380869,0.8220709717,1.020907944,1.032083759,1.239357952,1.226871808
P2|inv1.0|m0.0|S0.0|T3,3,0.9330176736,1,0.7973534539,0.8484654976,0.8546403558,1.029727076,1.831726173,1.475698014
P1|largo|ind|T2,3,0.9432181536,1,0.9993723071,1.095775281,0.6340114491,0.6096845103,0.8805030233,1.657559704
P2|uniformi|li0.5|T1,3,0.9483000467,1,0.8122964077,0.8777420306,1.017853078,1.034123802,1.379257713,1.306852674
P2|lx0.5|li0.1|T1,3,0.9510552494,1,0.8405527977,0.8284037265,1.030636553,1.068439132,1.370261993,1.377679375
P2|lx2.0|li0.5|T3,3,0.9567740391,1,0.7624191661,0.8635702064,1.01974787,1.034420864,1.535294174,1.696417166
P1|largo|agg+ind|T2,3,0.9569384521,1,0.9890176878,1.068837456,0.7727652901,0.6413400856,0.7684862681,1.649410582
P2|lx0.5|li0.5|T3,3,0.9691440676,1,0.8277962721,0.8216622398,1.021117858,1.021871162,1.467176285,1.890740241
P1|E6|agg+ind|T1,3,0.9694056035,1,0.8124104,0.9430658364,1.059779981,1.014838173,0.7773388567,1.809119526
P1|largo|agg|T2,3,0.9706774382,1,1.271289398,1.044959144,0.4965324373,0.3406589204,1.494625531,1.353984388
P1|E6|ind|T1,3,0.9769704728,1,0.8245212593,0.991971902,0.9692159428,1.133520091,0.7064800767,1.790066459
P2|lx2.0|li0.1|T3,3,0.9917735611,1,0.7460014182,0.8611111017,1.197746369,1.472232567,1.171014333,1.286331159
persistenza,3,1,1,1,1,1,1,1,1
P2|lx2.0|li0.1|T1,3,1.004233696,1,0.7465264688,0.8617552793,1.197762721,1.479825505,1.206856165,1.477425364
P1|tetto100|agg|T1,3,1.025760903,1,0.9577005347,0.7900674708,1.175478549,1.128754917,1.397425662,1.671760332
P1|E6|agg|T3,3,1.026034523,1,1.075299375,0.977648088,0.8149277407,0.9578952495,1.34002884,1.687475388
P1|largo|agg+ind|T1,3,1.064435417,1,0.8838585051,1.06518261,1.182872674,1.070988551,0.8515348392,1.869459002
P1|largo|ind|T1,3,1.064548229,1,0.8792281725,1.090000944,1.12368095,1.205643879,0.751753172,1.817825142
P1|tetto100|nessuna|T3,3,1.117974075,1,0.9893266434,0.9285872692,1.079435311,1.795268889,1.388619656,1.555099343
