,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other
561,0,0,0,0,0,0,1346.93444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.18148,0,0,0,0,0,0,0,1268.849467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.83464303,0,0,238.8616804,118.1814699,0,10126.32021,25577.38904,0,731182.3567,229.917585,65.5805775,4.908772896,0,0,41.44327947,0,0,0,0,0,0,0,0,0,0,0,0
562,0,0,253.5271087,0,0,0,46.41400551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.1695645,0,0,0,0,0,0,243.196222,0,0,0,0,0,0,0,0,0,0,0,234.3932486,0,42.53884514,99.84042564,0,0,90455.87442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.3248983,0
61,0,0,0,0,0,0,926.4235499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900.3512682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5014145,0,0,63.94722153,33.4847498,0,4178.144619,25634.98929,0,0,0,248541.9569,0,0,0,0,1439.962014,0,23882.90571,13352.20059,15.08212279,0,0,0,0,0,0,0
621,0,0,0,0,0,0,366.6706435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8152.547771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1418.177638,0,748.0611549,98.88042155,0,0,0,0,930035.748,0,0,0,0,0,0,100.0581227,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,2038.503122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244.156288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.2104377,0,2346.899213,5524.823553,0,0,0,0,5972.99486,734291.7272,0,0,0,0,0,1707.473334,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,123.4612547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.94449012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.1924415,0,0,21.78818898,6.720028649,0,0,0,0,439.8260515,0,219690.7509,362.6286954,0,0,0,442.8498392,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,335.1091198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7893663,187.0983121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.45301837,7.680032742,0,0,0,0,233.6575899,0,1763.003672,181442.4451,0,0,0,0,0,0,0,0,0,0,0,0
711AS,0,0,0,0,0,0,676.7162003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146.333313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809.6846726,1196.587382,0,68.47716535,6722.908661,0,0,0,143.3404051,0,0,0,0,145852.7738,2347.820462,6.54454257,3299.138656,289.388231,0,0,0,0,0,0,0
713,0,0,0,0,0,0,335.1091198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.054232,0,0,2148.306507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.51682913,250.1507779,0,30.08845144,96.96041336,0,0,0,1887.783767,0,0,0,644.2546173,85.74531087,112012.5687,252.4323563,10004.8858,1648.664547,0,0,0,0,0,0,0
721,0,0,0,0,0,0,1846.349139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.44687442,285.8603752,368.9962794,702.8058423,0,0,0,0,0,0,0,0,0,0,176.8380823,0,0,0,0,0,0,930.0559131,1025.224251,0,29.05091864,0.9600040927,0,0,0,0,0,0,0,0,1035.46783,28318.34133,167365.457,38094.35082,1615.672404,0,0,0,0,0,0,0
